Date,Open,High,Low,Close,Adj Close,Volume
2020-07-17,110.169998,111.760002,107.870003,109.040001,109.040001,1697000
2020-07-20,111.900002,117.989998,111.139999,115.250000,115.250000,3510100
2020-07-21,118.320000,120.449997,114.681000,115.449997,115.449997,2526300
2020-07-22,115.930000,116.750000,113.160004,114.650002,114.650002,1397400
2020-07-23,114.650002,114.959999,107.199997,108.949997,108.949997,2745400
2020-07-24,105.430000,108.199997,101.699997,107.120003,107.120003,3797800
2020-07-27,110.480003,115.019997,109.169998,114.180000,114.180000,3498500
2020-07-28,115.629997,118.750000,114.139999,116.000000,116.000000,2937000
2020-07-29,119.169998,120.339996,116.910004,118.690002,118.690002,2385500
2020-07-30,118.519997,122.550003,118.139999,122.290001,122.290001,3665400
2020-07-31,124.510002,125.839996,120.099998,122.199997,122.199997,4166700
2020-08-03,124.919998,134.330002,124.500000,132.750000,132.750000,4569800
2020-08-04,132.860001,138.539993,131.740005,137.509995,137.509995,4490600
2020-08-05,140.509995,146.690002,140.050003,145.470001,145.470001,4543000
2020-08-06,146.990005,146.990005,137.039993,138.210007,138.210007,4497700
2020-08-07,137.270004,140.442993,127.639999,129.000000,129.000000,5050200
2020-08-10,132.660004,135.520004,120.339996,122.699997,122.699997,5945300
2020-08-11,122.849998,127.790001,118.080002,120.360001,120.360001,3967900
2020-08-12,122.489998,128.684006,121.370003,126.919998,126.919998,3832400
2020-08-13,128.000000,130.649994,126.500000,128.000000,128.000000,4053600
2020-08-14,128.309998,129.669998,124.389999,126.500000,126.500000,3299400
2020-08-17,128.919998,134.440002,127.230003,134.279999,134.279999,6073200
2020-08-18,148.000000,152.509995,141.029999,145.979996,145.979996,12364800
2020-08-19,151.770004,154.250000,146.300003,150.559998,150.559998,5442100
2020-08-20,151.300003,153.339996,145.759995,152.639999,152.639999,4178400
2020-08-21,153.279999,154.279999,145.899994,147.419998,147.419998,3934100
2020-08-24,149.789993,152.190002,144.259995,150.410004,150.410004,4437800
2020-08-25,148.250000,155.000000,147.300003,154.130005,154.130005,3644900
2020-08-26,154.919998,163.139999,154.339996,159.000000,159.000000,5392700
2020-08-27,158.000000,158.899994,150.339996,153.149994,153.149994,3919200
2020-08-28,154.479996,156.089996,151.979996,152.669998,152.669998,2396500
2020-08-31,154.339996,158.990005,150.559998,152.809998,152.809998,3949200
2020-09-01,156.699997,162.000000,153.309998,161.800003,161.800003,5358200
2020-09-02,164.259995,165.229996,153.380005,157.220001,157.220001,4471600
2020-09-03,150.660004,152.970001,144.119995,147.559998,147.559998,6682700
2020-09-04,145.050003,145.710007,137.889999,144.149994,144.149994,7891400
